State,Total Homeless Persons,"Rate of Homeless Population per 10,000",Chronic individuals (% Homeless population),Chronic Persons in Families (% Homeless population),"Chronic Homeless Persons, Total (% Homeless population)",Persons in families (% Homeless population),Unaccompanied Children and youth (% Homeless population),Veterans (% Homeless population),Unsheltered persons (% Homeless population),Change from Last Year,Population,
Alabama,"4,689",9.7,16.40%,1.90%,18.30%,27.80%,8.40%,10.90%,30.80%,-0.0998,4833722,
Alaska,1946,26.47,8.50%,0.90%,9.50%,30.00%,8.60%,10.80%,10.50%,0.0173,735132,
Arizona,10562,15.94,10.10%,1.20%,11.20%,38.40%,6.40%,11.60%,29.60%,-0.0655,6626624,
Arkansas,3812,12.88,14.80%,1.00%,15.80%,16.70%,7.60%,12.10%,56.30%,-0.0954,2959373,
California,136826,35.69,25.90%,2.80%,28.70%,18.30%,11.30%,11.10%,66.70%,0.0453,38332521,
Colorado,9754,18.51,13.90%,4.40%,18.20%,52.20%,5.20%,7.00%,22.20%,-0.4183,5268367,
Connecticut,4448,12.37,19.60%,3.90%,23.50%,30.30%,5.30%,7.70%,20.70%,0.0568,3596080,
Delaware,946,10.22,6.90%,0.60%,7.50%,39.20%,3.70%,9.40%,1.10%,-0.0615,925749,
District of Columbia,6865,106.2,25.70%,3.80%,29.50%,46.20%,2.40%,7.30%,7.50%,-0.0128,646449,
Florida,47862,24.48,16.30%,3.90%,20.20%,34.50%,7.20%,11.50%,58.90%,-0.1325,19552860,
Georgia,16971,16.98,16.00%,2.20%,18.20%,24.10%,6.60%,10.60%,49.90%,-0.1728,9992167,
Guam,1271,79.76,4.00%,18.80%,22.80%,76.70%,2.80%,2.50%,89.90%,-0.0231,159358,
Hawaii,6335,45.12,16.30%,2.40%,18.60%,47.00%,3.30%,8.80%,40.90%,0.0142,1404054,
Idaho,1781,11.05,10.80%,4.40%,15.20%,39.10%,7.70%,11.70%,21.20%,-0.095,1612136,
Illinois,13425,10.42,10.50%,1.30%,11.70%,40.70%,7.90%,9.40%,16.40%,-0.0508,12882135,
Indiana,6096,9.28,8.40%,1.10%,9.50%,38.50%,5.20%,12.20%,11.50%,-0.026,6570902,
Iowa,3084,9.98,9.00%,1.60%,10.60%,50.60%,6.30%,7.40%,4.30%,0.0533,3090416,
Kansas,2693,9.31,11.30%,1.90%,13.20%,45.00%,3.80%,15.40%,11.50%,0.0034,2893957,
Kentucky,5245,11.93,7.50%,2.80%,10.30%,37.00%,7.30%,11.60%,14.40%,0.0029,4395295,
Louisiana,5226,11.3,19.40%,1.90%,21.30%,25.20%,9.30%,11.00%,30.10%,-0.3276,4625470,
Maine,3016,22.71,5.30%,0.60%,5.80%,48.20%,10.20%,5.40%,2.10%,0.2603,1328302,
Maryland,8205,13.84,15.20%,2.80%,18.00%,36.40%,4.70%,8.20%,23.40%,-0.1321,5928814,
Massachusetts,19029,28.43,8.30%,2.80%,11.10%,64.80%,2.70%,6.60%,4.50%,0.0873,6692824,
Michigan,11527,11.65,8.40%,1.20%,9.60%,37.20%,9.40%,9.50%,19.00%,-0.0846,9895622,
Minnesota,8214,15.15,11.10%,5.30%,16.40%,54.60%,8.90%,4.20%,11.10%,0.0607,5420380,
Mississippi,2403,8.03,17.00%,2.80%,19.80%,27.00%,13.90%,8.70%,54.90%,-0.0041,2991207,
Missouri,8581,14.2,8.10%,4.00%,12.10%,45.80%,7.40%,9.80%,24.20%,-0.1618,6044171,
Montana,1878,18.5,11.20%,0.90%,12.10%,35.50%,8.80%,16.50%,41.70%,0.0245,1015165,
Nebraska,3145,16.83,10.80%,2.40%,13.20%,39.80%,9.00%,5.80%,5.50%,-0.17,1868516,
Nevada,8443,30.26,10.50%,0.10%,10.50%,10.00%,22.80%,11.30%,56.20%,-0.1494,2790136,
New Hampshire,1447,10.93,15.60%,2.00%,17.60%,44.90%,8.00%,8.60%,14.00%,-0.0328,1323459,
New Jersey,12002,13.49,8.30%,2.00%,10.30%,49.20%,5.80%,4.50%,11.70%,-0.0785,8899339,
New Mexico,2819,13.52,14.20%,4.50%,18.60%,36.60%,14.30%,8.60%,15.20%,-0.1313,2085287,
New York,77430,39.4,5.20%,2.90%,8.20%,59.70%,4.70%,6.00%,5.40%,0.113,19651127,
North Carolina,12168,12.36,11.90%,3.20%,15.10%,38.10%,7.20%,9.20%,25.90%,-0.1003,9848060,
North Dakota,2069,28.6,5.30%,3.30%,8.70%,40.60%,10.00%,11.60%,67.40%,2.0073,723393,
Ohio,12325,10.65,13.60%,0.60%,14.20%,38.20%,7.40%,9.80%,10.90%,-0.1182,11570808,
Oklahoma,4408,11.45,14.00%,2.30%,16.30%,27.90%,10.90%,9.90%,26.00%,-0.124,3850568,
Oregon,13822,35.17,17.70%,4.30%,22.00%,34.90%,8.70%,10.80%,53.50%,-0.1267,3930065,
Pennsylvania,15086,11.81,10.20%,1.00%,11.10%,47.10%,5.60%,9.70%,9.00%,0.0238,12773801,
Puerto Rico,4128,11.42,39.50%,12.10%,51.60%,15.90%,3.70%,2.00%,66.00%,0.2852,3615086,
Rhode Island,1384,13.16,17.60%,0.60%,18.10%,37.70%,5.30%,7.00%,8.50%,0.0838,1051511,
South Carolina,6544,13.71,6.90%,0.50%,7.40%,27.60%,4.90%,9.70%,47.90%,0.3314,4774839,
South Dakota,1094,12.95,10.70%,9.10%,19.80%,49.10%,5.80%,11.40%,31.00%,0.2736,844877,
Tennessee,9528,14.67,20.20%,3.00%,23.30%,27.50%,6.30%,10.40%,33.70%,0.0108,6495978,
Texas,29615,11.2,16.10%,2.60%,18.70%,29.90%,7.00%,13.10%,40.80%,-0.1303,26448193,
US Virgin Islands,482,45.3,18.00%,0.00%,18.00%,7.90%,3.90%,6.80%,75.30%,-0.0041,106405,
Utah,3277,11.3,10.60%,3.30%,13.90%,40.20%,4.30%,10.00%,12.80%,-0.0709,2900872,
Vermont,1454,23.2,12.60%,2.30%,14.90%,51.80%,5.90%,8.80%,12.70%,0.2534,626630,
Virginia,7625,9.23,16.60%,1.20%,17.80%,40.60%,4.10%,9.40%,13.40%,-0.0948,8260405,
Washington,17760,25.48,10.90%,1.50%,12.40%,40.20%,6.40%,7.40%,28.50%,-0.1338,6971406,
West Virginia,2240,12.08,17.40%,1.90%,19.30%,31.10%,11.30%,14.70%,28.00%,-0.0705,1854304,
Wisconsin,6104,10.63,7.40%,1.20%,8.50%,50.80%,6.30%,9.00%,6.00%,0.0128,5742713,
Wyoming,953,16.36,23.20%,2.40%,25.60%,29.00%,11.20%,14.40%,47.40%,-0.4744,582658,