id,State,Total Homeless Persons
01000,Alabama,"4,689"
02000,Alaska,1946
04000,Arizona,10562
05000,Arkansas,3812
06000,California,136826
08000,Colorado,9754
09000,Connecticut,4448
10000,Delaware,946
11000,District of Columbia,6865
12000,Florida,47862
13000,Georgia,16971
14000,Guam,1271
15000,Hawaii,6335
16000,Idaho,1781
17000,Illinois,13425
18000,Indiana,6096
19000,Iowa,3084
20000,Kansas,2693
21000,Kentucky,5245
22000,Louisiana,5226
23000,Maine,3016
24000,Maryland,8205
25000,Massachusetts,19029
26000,Michigan,11527
27000,Minnesota,8214
28000,Mississippi,2403
29000,Missouri,8581
30000,Montana,1878
31000,Nebraska,3145
32000,Nevada,8443
33000,New Hampshire,1447
34000,New Jersey,12002
35000,New Mexico,2819
36000,New York,77430
37000,North Carolina,12168
38000,North Dakota,2069
39000,Ohio,12325
40000,Oklahoma,4408
41000,Oregon,13822
42000,Pennsylvania,15086
43000,Puerto Rico,4128
44000,Rhode Island,1384
45000,South Carolina,6544
46000,South Dakota,1094
47000,Tennessee,9528
48000,Texas,29615
49000,US Virgin Islands,482
50000,Utah,3277
51000,Vermont,1454
52000,Virginia,7625
53000,Washington,17760
54000,West Virginia,2240
55000,Wisconsin,6104
56000,Wyoming,953